"id","session","handle","plugin","event","timestamp","call_id","username","callee","call_type"
42,1324939924930225,5815025543643506,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""REGISTER sip:sip.tb SIP/2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:52922;rport;branch=z9hG4bKUy1X71Krg5mZQ\r\nMax-Forwards: 70\r\nFrom: <sip:10005@sip.tb>;tag=UeSeNjBX004Bm\r\nTo: <sip:10005@sip.tb>\r\nCall-ID: 15941b5e-2e61-123a-208a-0050568a2cf5\r\nCSeq: 957470081 REGISTER\r\nContact: 10005 <sip:10005@192.168.2.82:52922>\r\nExpires: 3600\r\nUser-Agent: WebRTC Gateway\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces, path\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 07:38:43.000,,,,
43,1324939924930225,5815025543643506,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""REGISTER sip:sip.tb SIP/2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:52922;rport;branch=z9hG4bKUy1X71Krg5mZQ\r\nMax-Forwards: 70\r\nFrom: <sip:10005@sip.tb>;tag=UeSeNjBX004Bm\r\nTo: <sip:10005@sip.tb>\r\nCall-ID: 15941b5e-2e61-123a-208a-0050568a2cf5\r\nCSeq: 957470081 REGISTER\r\nContact: 10005 <sip:10005@192.168.2.82:52922>\r\nExpires: 3600\r\nUser-Agent: WebRTC Gateway\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces, path\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 07:38:43.000,,,,
44,1324939924930225,5815025543643506,janus.plugin.sip,"{""event"":""sip-in"",""sip"":""SIP/2.0 200 OK\r\nVia: SIP/2.0/UDP 192.168.2.82:52922;rport=52922;branch=z9hG4bKUy1X71Krg5mZQ;received=192.168.2.82\r\nFrom: <sip:10005@sip.tb>;tag=UeSeNjBX004Bm\r\nTo: <sip:10005@sip.tb>;tag=13ad6ee50629b4d5bf0e6f8bbff6cf17.e57cd812\r\nCall-ID: 15941b5e-2e61-123a-208a-0050568a2cf5\r\nCSeq: 957470081 REGISTER\r\nContact: <sip:10005@192.168.2.82:52922>;expires=3600\r\nServer: kamailio (5.3.4 (x86_64/linux))\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 07:38:43.000,,,,
45,1324939924930225,5815025543643506,janus.plugin.sip,"{""event"":""registered"",""identity"":""sip:10005@sip.tb"",""proxy"":""sip:sip.tb""}",2021-05-13 07:38:43.000,,,,
46,5659022964598328,7505575649018589,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""REGISTER sip:sip.tb SIP/2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:51529;rport;branch=z9hG4bKUBt38NNBFpg9r\r\nMax-Forwards: 70\r\nFrom: <sip:10005@sip.tb>;tag=UU6m4Q0rytDZF\r\nTo: <sip:10005@sip.tb>\r\nCall-ID: 5b394340-2e61-123a-208a-0050568a2cf5\r\nCSeq: 957470111 REGISTER\r\nContact: 10005 <sip:10005@192.168.2.82:51529>\r\nExpires: 3600\r\nUser-Agent: WebRTC Gateway\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces, path\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 07:40:40.000,,,,
47,5659022964598328,7505575649018589,janus.plugin.sip,"{""event"":""sip-in"",""sip"":""SIP/2.0 200 OK\r\nVia: SIP/2.0/UDP 192.168.2.82:51529;rport=51529;branch=z9hG4bKUBt38NNBFpg9r;received=192.168.2.82\r\nFrom: <sip:10005@sip.tb>;tag=UU6m4Q0rytDZF\r\nTo: <sip:10005@sip.tb>;tag=13ad6ee50629b4d5bf0e6f8bbff6cf17.3e9f8f1e\r\nCall-ID: 5b394340-2e61-123a-208a-0050568a2cf5\r\nCSeq: 957470111 REGISTER\r\nContact: <sip:10005@192.168.2.82:51529>;expires=3600\r\nServer: kamailio (5.3.4 (x86_64/linux))\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 07:40:40.000,,,,
48,5659022964598328,7505575649018589,janus.plugin.sip,"{""event"":""registered"",""identity"":""sip:10005@sip.tb"",""proxy"":""sip:sip.tb""}",2021-05-13 07:40:40.000,,,,
49,5659022964598328,7505575649018589,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""SIP/2.0 100 Trying\r\nVia: SIP/2.0/UDP 192.168.2.216;branch=z9hG4bKd939.553a7d6fce77b62d13ef9eefddc4a6c1.0\r\nVia: SIP/2.0/UDP 192.168.2.82:5090;received=192.168.2.82;rport=5090;branch=z9hG4bKSFrBDZ223K5Np\r\nRecord-Route: <sip:192.168.2.216;lr>\r\nFrom: \""\"" <sip:0000000000@192.168.2.82>;tag=a0Ft8Nc8Z1D4F\r\nTo: <sip:10005@sip.tb>\r\nCall-ID: 9b64bce9-2e61-123a-8cb5-0050568a2cf5\r\nCSeq: 35892081 INVITE\r\nUser-Agent: WebRTC Gateway\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 07:42:27.000,,,,
50,5659022964598328,7505575649018589,janus.plugin.sip,"{""event"":""sip-in"",""sip"":""INVITE sip:10005@192.168.2.82:51529 SIP/2.0\r\nRecord-Route: <sip:192.168.2.216;lr>\r\nVia: SIP/2.0/UDP 192.168.2.216;branch=z9hG4bKd939.553a7d6fce77b62d13ef9eefddc4a6c1.0\r\nVia: SIP/2.0/UDP 192.168.2.82:5090;received=192.168.2.82;rport=5090;branch=z9hG4bKSFrBDZ223K5Np\r\nMax-Forwards: 69\r\nFrom: \""\"" <sip:0000000000@192.168.2.82>;tag=a0Ft8Nc8Z1D4F\r\nTo: <sip:10005@sip.tb>\r\nCall-ID: 9b64bce9-2e61-123a-8cb5-0050568a2cf5\r\nCSeq: 35892081 INVITE\r\nContact: <sip:mod_sofia@192.168.2.82:5090>\r\nUser-Agent: FreeSWITCH-mod_sofia/1.8.7~64bit\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, MESSAGE, INFO, UPDATE, REGISTER, REFER, NOTIFY, PUBLISH, SUBSCRIBE\r\nSupported: timer, path, replaces\r\nAllow-Events: talk, hold, conference, presence, as-feature-event, dialog, line-seize, call-info, sla, include-session-description, presence.winfo, message-summary, refer\r\nContent-Type: application/sdp\r\nContent-Disposition: session\r\nContent-Length: 220\r\nX-FS-Support: update_display,send_info\r\nRemote-Party-ID: <sip:0000000000@192.168.2.82>;party=calling;screen=yes;privacy=off\r\n\r\nv=0\r\no=FreeSWITCH 1620841627 1620841628 IN IP4 192.168.2.82\r\ns=FreeSWITCH\r\nc=IN IP4 192.168.2.82\r\nt=0 0\r\nm=audio 50120 RTP/AVP 8 101\r\na=rtpmap:8 PCMA/8000\r\na=rtpmap:101 telephone-event/8000\r\na=fmtp:101 0-16\r\na=ptime:20\r\n""}",2021-05-13 07:42:27.000,,,,
51,5659022964598328,7505575649018589,janus.plugin.sip,"{""event"":""incomingcall"",""call-id"":""9b64bce9-2e61-123a-8cb5-0050568a2cf5"",""username"":""sip:0000000000@192.168.2.82"",""displayname"":""\""\"""",""callee"":""sip:10005@sip.tb""}",2021-05-13 07:42:27.000,,,,
