"id","session","handle","medium","base","lsr","lostlocal","lostremote","jitterlocal","jitterremote","packetssent","packetsrecv","bytessent","bytesrecv","nackssent","nacksrecv","timestamp"
1838,5659022964598328,7505575649018589,audio,8000,0,0,0,4,0,71,74,12212,12728,0,0,2021-05-13 07:42:35.000
1839,5659022964598328,7505575649018589,audio,8000,0,0,0,4,4,122,125,20984,21500,0,0,2021-05-13 07:42:36.000
1840,5659022964598328,7505575649018589,audio,8000,0,0,0,3,4,172,175,29584,30100,0,0,2021-05-13 07:42:37.000
1841,5659022964598328,7505575649018589,audio,8000,0,0,0,3,4,222,225,38184,38700,0,0,2021-05-13 07:42:38.000
1842,5659022964598328,7505575649018589,audio,8000,0,0,0,4,4,272,275,46784,47300,0,0,2021-05-13 07:42:39.000
1843,5659022964598328,7505575649018589,audio,8000,0,0,0,4,4,321,324,55212,55728,0,0,2021-05-13 07:42:40.000
1844,5659022964598328,7505575649018589,audio,8000,0,0,0,3,4,371,374,63812,64328,0,0,2021-05-13 07:42:41.000
1845,5659022964598328,7505575649018589,audio,8000,0,0,0,3,4,421,424,72412,72928,0,0,2021-05-13 07:42:42.000
1846,5659022964598328,7505575649018589,audio,8000,0,0,0,3,4,471,474,81012,81528,0,0,2021-05-13 07:42:43.000
1847,5659022964598328,7505575649018589,audio,8000,0,0,0,3,4,522,525,89784,90300,0,0,2021-05-13 07:42:44.000
1848,5659022964598328,7505575649018589,audio,8000,0,0,0,4,4,571,574,98212,98728,0,0,2021-05-13 07:42:45.000
1849,5659022964598328,7505575649018589,audio,8000,0,0,0,2,3,622,625,106984,107500,0,0,2021-05-13 07:42:46.000
1850,5659022964598328,7505575649018589,audio,8000,0,0,0,2,3,672,675,115584,116100,0,0,2021-05-13 07:42:47.000
1851,5659022964598328,7505575649018589,audio,8000,0,0,0,2,3,721,724,124012,124528,0,0,2021-05-13 07:42:48.000
1852,5659022964598328,7505575649018589,audio,8000,0,0,0,2,3,771,774,132612,133128,0,0,2021-05-13 07:42:49.000
1853,5659022964598328,7505575649018589,audio,8000,0,0,0,2,3,821,824,141212,141728,0,0,2021-05-13 07:42:50.000
1854,5659022964598328,7505575649018589,audio,8000,0,0,0,3,2,871,874,149812,150328,0,0,2021-05-13 07:42:51.000
1855,5659022964598328,7505575649018589,audio,8000,0,0,0,2,2,922,925,158584,159100,0,0,2021-05-13 07:42:52.000
1856,5659022964598328,7505575649018589,audio,8000,0,0,0,3,2,972,975,167184,167700,0,0,2021-05-13 07:42:53.000
1857,5659022964598328,7505575649018589,audio,8000,0,0,0,3,2,1022,1025,175784,176300,0,0,2021-05-13 07:42:54.000
1858,5659022964598328,7505575649018589,audio,8000,0,0,0,2,2,1072,1075,184384,184900,0,0,2021-05-13 07:42:55.000
1859,5659022964598328,7505575649018589,audio,8000,0,0,0,2,2,1121,1124,192812,193328,0,0,2021-05-13 07:42:56.000
